comp_id,wp_no,species_raw,length_cm
IC 1,WP0033,Kob (Silver),40.0
IC 1,WP0033,"Kob (Silver)< 0,5 kg",36.0
IC 1,WP0617,Site Fish (Catfish - White Sea),66.0
IC 1,WP0752,Catshark (Leopard),58.0
IC 1,WP0854,Site Fish (Catfish - White Sea),66.0
IC 1,WP0854,Site Fish (Catfish - White Sea),66.0
IC 1,WP0912,Shark (Smooth Hound - White Spotty) (F),73.0
IC 1,WP0912,Catshark (Leopard),61.0
IC 1,WP1242,Kob (Silver),40.0
IC 1,WP1242,"Blaasop (Blackback)< 0,5 kg",20.0
IC 1,WP1244,"Kob (Silver)< 0,5 kg",36.0
IC 1,WP0073,Kob (Silver),45.0
IC 1,WP0095,Kob (Silver),48.0
IC 1,WP0095,Kob (Silver),42.0
IC 1,WP0612,Galjoen (TL),37.0
IC 1,WP0712,Site Fish (Catfish - White Sea),66.0
IC 1,WP0712,Site Fish (Catfish - White Sea),66.0
IC 1,WP0712,Site Fish (Catfish - White Sea),66.0
IC 1,WP0712,"Steenbras (White)< 0,5 kg",27.0
IC 1,WP0714,Site Fish (Catfish - White Sea),66.0
IC 1,WP0714,Site Fish (Catfish - White Sea),66.0
IC 1,WP1179,Galjoen (TL),31.0
IC 1,WP1220,Blacktail,34.0
IC 1,WP1288,Shark (Smooth Hound - White Spotty) (F) < 1 kg,64.0
IC 1,WP1314,Shark (Smooth Hound - White Spotty) (F) < 1 kg,68.0
IC 1,WP1317,Guitarfish (Lesser),82.0
IC 1,WP1330,Kob (Silver),60.0
IC 1,WP1330,Shark  (Smooth Hound - White Spotty) (M) < 1 kg,49.0
IC 1,WP1365,Catshark (Puffadder) < 1 kg,55.0
IC 1,WP1365,Stingray (Blue) (M),35.0
IC 1,WP0324,Guitarfish (Lesser),86.0
IC 1,WP0324,Guitarfish (Lesser),68.0
IC 1,WP0324,Guitarfish (Lesser),66.0
IC 1,WP0324,Guitarfish (Lesser),66.0
IC 1,WP0481,Site Fish (Catfish - White Sea),66.0
IC 1,WP0481,Site Fish (Catfish - White Sea),66.0
IC 1,WP0481,Kob (Silver),62.0
IC 1,WP0981,Guitarfish (Lesser),66.0
IC 1,WP1091,Kob (Silver),53.0
IC 1,WP1097,"Galjoen (TL)< 0,5 kg",30.0
IC 1,WP1237,Site Fish (Catfish - White Sea),66.0
IC 1,WP1351,Kob (Common / Dusky),78.0
IC 1,WP0625,Shark (Copper / Bronze) (F),63.0
IC 1,WP0124,Catshark (Striped),96.0
IC 1,WP0346,Catshark (Striped),94.0
IC 1,WP0346,"Elf / Shad< 0,5 kg",30.0
IC 1,WP0538,Kob (Silver),48.0
IC 1,WP1053,Shark (Spotted Ragged-tooth) (M),104.0
IC 1,WP1061,Kob (Silver),48.0
IC 1,WP1255,Stingray (Blue) (F),55.0
IC 1,WP1257,Catshark (Striped),93.0
IC 1,WP1257,Kob (Silver),58.0
IC 1,WP1257,Kob (Silver),54.0
IC 1,WP1257,Kob (Silver),50.0
IC 1,WP1257,Kob (Silver),48.0
IC 1,WP1257,"Galjoen (TL)< 0,5 kg",30.0
IC 1,WP1342,Kob (Silver),53.0
IC 1,WP0451,Kob (Silver),87.0
IC 1,WP0656,Catshark (Striped),90.0
IC 1,WP0656,Catshark (Striped),89.0
IC 1,WP0656,Kob (Silver),50.0
IC 1,WP0656,Kob (Silver),43.0
IC 1,WP0656,Kob (Silver),43.0
IC 1,WP0656,Kob (Silver),40.0
IC 1,WP0656,"Kob (Silver)< 0,5 kg",37.0
IC 1,WP0893,Kob (Silver),60.0
IC 1,WP0960,Kob (Silver),62.0
IC 1,WP1182,Blacktail,39.0
IC 1,WP1185,Shark (Spotted Gully - Black Spotty),96.0
IC 1,WP1185,Catshark (Striped),85.0
IC 1,WP1185,Catshark (Leopard),58.0
IC 1,WP1185,Kob (Silver),47.0
IC 1,WP1185,Kob (Silver),47.0
IC 1,WP1192,"Kob (Silver)< 0,5 kg",37.0
IC 8,WP324,Baardman (Belman),
IC 1,WP324,Site Fish (Gurnard - Cape),1.0
IC 8,WP324,Ray (Bull)/Duckbill,150.0
