comp_id,wp_no,sub_team
IC 1,WP795,A
IC 1,WP324,A
IC 1,WP1095,A
IC 1,WP1355,B
IC 1,WP635,B
IC 1,WP886,B
IC 1,WP1268,C
IC 1,WP1262,C
IC 1,WP1231,A
IC 1,WP1381,C
IC 1,WP1354,C
IC 1,WP1353,A
IC 1,WP1236,A
IC 1,WP981,A
IC 1,WP1240,A
IC 1,WP478,B
IC 1,WP1232,C
IC 1,WP1267,C
IC 1,WP1097,C
IC 1,WP776,B
IC 1,WP1091,B
IC 1,WP1269,D
IC 1,WP878,D
IC 1,WP334,D
IC 1,WP1303,D
IC 1,WP774,D
IC 1,WP481,B
IC 1,WP857,D
IC 1,WP1351,D
IC 1,WP1265,D
IC 1,WP1264,E
IC 1,WP1234,E
IC 1,WP1237,E
IC 1,WP1352,E
IC 1,WP1270,B
IC 1,WP1356,C
IC 8,WP795,A
IC 8,WP324,A
IC 8,WP1095,A
IC 8,WP1355,A
IC 8,WP635,A
IC 8,WP886,A
IC 8,WP1268,A
IC 8,WP1262,A
IC 8,WP1231,B
IC 8,WP1381,B
IC 8,WP1354,B
IC 8,WP1353,B
IC 8,WP1236,B
IC 8,WP981,B
IC 8,WP1240,B
IC 8,WP478,
